MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
Individual Match,"Elecon Cricket Ground, Vallabh Vidyanagar, 31-Jan-21, 50 Ov.",Pratik-11,236/15,Shubham -11,237/12,Shubham -11,3 wickets,https://cricheroes.in/scorecard/1468926/individual/Pratik-11-vs-Shubham--11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 10-Jan-21, 20 Ov., ",K.D.C.A 11,163/5,Hansie 11,167/5,Hansie 11,5 wickets,https://cricheroes.in/scorecard/1360671/ELECON-T20-KNOCK-OUT-TOURNAMENT/K.D.C.A-11-vs-Hansie-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 08-Jan-21, 20 Ov., ",Hansie 11,149/7,Mansvi 11,77/10,Hansie 11,72 runs,https://cricheroes.in/scorecard/1350097/ELECON-T20-KNOCK-OUT-TOURNAMENT/Hansie-11-vs-Mansvi-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 07-Jan-21, 20 Ov., ",K.D.C.A 11,154/6,BCC XI 07,135/10,K.D.C.A 11,19 runs,https://cricheroes.in/scorecard/1346513/ELECON-T20-KNOCK-OUT-TOURNAMENT/K.D.C.A-11-vs-BCC-XI-07
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 05-Jan-21, 20 Ov., ",Hansie 11,190/5,GNR COLTS,185/7,Hansie 11,5 runs,https://cricheroes.in/scorecard/1340395/ELECON-T20-KNOCK-OUT-TOURNAMENT/Hansie-11-vs-GNR-COLTS
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 04-Jan-21, 20 Ov., ",BCC XI 07,179/5,K.D.P. SPORTS CLUB NADIYAD,55/10,BCC XI 07,124 runs,https://cricheroes.in/scorecard/1337361/ELECON-T20-KNOCK-OUT-TOURNAMENT/BCC-XI-07-vs-K.D.P.-SPORTS-CLUB-NADIYAD
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 03-Jan-21, 20 Ov., ",Mansvi 11,203/4,V.V.Nagar COP,113/7,Mansvi 11,90 runs,https://cricheroes.in/scorecard/1333979/ELECON-T20-KNOCK-OUT-TOURNAMENT/Mansvi-11-vs-V.V.Nagar-COP
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 03-Jan-21, 20 Ov., ",Topnotch Fooda,150/10,K.D.C.A 11,151/2,K.D.C.A 11,8 wickets,https://cricheroes.in/scorecard/1332103/ELECON-T20-KNOCK-OUT-TOURNAMENT/Topnotch-Fooda-vs-K.D.C.A-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 02-Jan-21, 20 Ov., ",BCC XI 07,148/9,CRIC8-B,111/9,BCC XI 07,"37 runs (Last batsman was injured
)",https://cricheroes.in/scorecard/1326417/ELECON-T20-KNOCK-OUT-TOURNAMENT/BCC-XI-07-vs-CRIC8-B
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 01-Jan-21, 20 Ov., ","Elecon Cricket Academy,VVN",97/10,Mansvi 11,100/2,Mansvi 11,8 wickets,"https://cricheroes.in/scorecard/1322096/ELECON-T20-KNOCK-OUT-TOURNAMENT/Elecon-Cricket-Academy,VVN-vs-Mansvi-11"
