MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",Bajarang_11,56/6,JP Jhorma,57/3,JP Jhorma,7 wickets,https://cricheroes.in/scorecard/1474428/4-STAR-UNITY-CUP-2021/Bajarang_11-vs-JP-Jhorma
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",Henik_Blast,41/5,JP Jhorma,43/2,JP Jhorma,8 wickets,https://cricheroes.in/scorecard/1474047/4-STAR-UNITY-CUP-2021/Henik_Blast-vs-JP-Jhorma
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",JP Jhorma,37/5,Bajarang_11,38/4,Bajarang_11,6 wickets,https://cricheroes.in/scorecard/1473635/4-STAR-UNITY-CUP-2021/JP-Jhorma-vs-Bajarang_11
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",JP Jhorma,64/4,Henik_Blast,53/5,JP Jhorma,11 runs,https://cricheroes.in/scorecard/1454268/4-STAR-UNITY-CUP-2021/JP-Jhorma-vs-Henik_Blast
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",H & R Fighters,58/6,Bajarang_11,60/4,Bajarang_11,6 wickets,https://cricheroes.in/scorecard/1454254/4-STAR-UNITY-CUP-2021/H-&-R-Fighters-vs-Bajarang_11
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",Henik_Blast,51/6,Bajarang_11,52/5,Bajarang_11,5 wickets,https://cricheroes.in/scorecard/1454245/4-STAR-UNITY-CUP-2021/Henik_Blast-vs-Bajarang_11
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",H & R Fighters,46/9,JP Jhorma,47/2,JP Jhorma,8 wickets,https://cricheroes.in/scorecard/1454217/4-STAR-UNITY-CUP-2021/H-&-R-Fighters-vs-JP-Jhorma
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",Bajarang_11,68/4,JP Jhorma,61/8,Bajarang_11,7 runs,https://cricheroes.in/scorecard/1454211/4-STAR-UNITY-CUP-2021/Bajarang_11-vs-JP-Jhorma
4 STAR UNITY CUP 2021,"NCG Ambheti, Vapi, 31-Jan-21, 6 Ov., ",Henik_Blast,73/3,H & R Fighters,63/3,Henik_Blast,10 runs,https://cricheroes.in/scorecard/1454182/4-STAR-UNITY-CUP-2021/Henik_Blast-vs-H-&-R-Fighters
Individual Match,"KK BHANDARI PARTY PLOT & CRICKET GROUND, Vapi, 27-Jan-21, 30 Ov.",Yadav 11 Vapi,222/10,KK Cricket Academy Vapi,121/10,Yadav 11 Vapi,101 runs,https://cricheroes.in/scorecard/1450021/individual/Yadav-11-Vapi-vs-KK-Cricket-Academy-Vapi
Tri-series 2021,"Dhasri ground, Vapi, 26-Jan-21, 8 Ov., ",Amkai 11 (Tri-series ),100/5,Dhasri 11 (tri-series),93/10,Amkai 11 (Tri-series ),7 runs,https://cricheroes.in/scorecard/1447024/Tri-series-2021/Amkai-11-(Tri-series-)-vs-Dhasri-11-(tri-series)
Sarpanch Cup 2021,"NCG Ambheti, Vapi, 26-Jan-21, 2 Ov., ",Kapariya B Team,18/2,Kesal Kings,18/3,Kapariya B Team,Super Over,https://cricheroes.in/scorecard/1446903/Sarpanch-Cup-2021/Kapariya-B-Team-vs-Kesal-Kings
Sarpanch Cup 2021,"NCG Ambheti, Vapi, 26-Jan-21, 2 Ov., ",Kapariya A Eleven,39/2,Sadadveri Dukan F.,15/1,Kapariya A Eleven,24 runs,https://cricheroes.in/scorecard/1446815/Sarpanch-Cup-2021/Kapariya-A-Eleven-vs-Sadadveri-Dukan-F.
Sarpanch Cup 2021,"NCG Ambheti, Vapi, 26-Jan-21, 2 Ov., ",Kapariya A Eleven,39/2,Sadadveri Dukan F.,"<span class=""yet-to-bat"">Yet to bat</span>",Kapariya A Eleven,39 runs,https://cricheroes.in/scorecard/1446713/Sarpanch-Cup-2021/Kapariya-A-Eleven-vs-Sadadveri-Dukan-F.
Sarpanch Cup 2021,"NCG Ambheti, Vapi, 26-Jan-21, 2 Ov., ",Bangiya B,25/1,Sadadveri PINKAL,26/0,Sadadveri PINKAL,10 wickets,https://cricheroes.in/scorecard/1446503/Sarpanch-Cup-2021/Bangiya-B-vs-Sadadveri-PINKAL
