MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
Individual Match,"Suncity Vasai Cricket Ground, Vasai, 31-Jan-21, 20 Ov.",Samta Cc Sativali,204/8,Rising Cricket Club Vasai,188/5,Samta Cc Sativali,16 runs,https://cricheroes.in/scorecard/1468771/individual/Samta-Cc-Sativali-vs-Rising-Cricket-Club-Vasai
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",MUSKAAN NX,29/7,CRYSTAL CHALLENGERS.,30/2,CRYSTAL CHALLENGERS.,6 wickets,https://cricheroes.in/scorecard/1441747/FPL-2-friend-premier-league-2/MUSKAAN-NX-vs-CRYSTAL-CHALLENGERS.
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",FASHION FEVER blaster,26/7,MUSKAAN NX,29/4,MUSKAAN NX,4 wickets,https://cricheroes.in/scorecard/1441629/FPL-2-friend-premier-league-2/FASHION-FEVER-blaster-vs-MUSKAAN-NX
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",RR FIGHTERS,40/8,CRYSTAL CHALLENGERS.,39/6,RR FIGHTERS,1 run,https://cricheroes.in/scorecard/1441564/FPL-2-friend-premier-league-2/RR-FIGHTERS-vs-CRYSTAL-CHALLENGERS.
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",FASHION FEVER blaster,33/5,SHINE DIAMOND,23/8,FASHION FEVER blaster,10 runs,https://cricheroes.in/scorecard/1411415/FPL-2-friend-premier-league-2/FASHION-FEVER-blaster-vs-SHINE-DIAMOND
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",SALMAN SHALIMAR STRIKERS,24/8,RR FIGHTERS,26/1,RR FIGHTERS,7 wickets,https://cricheroes.in/scorecard/1411412/FPL-2-friend-premier-league-2/SALMAN-SHALIMAR-STRIKERS-vs-RR-FIGHTERS
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",LIMRA LIONS.,26/7,MUSKAAN NX,32/3,MUSKAAN NX,5 wickets,https://cricheroes.in/scorecard/1411409/FPL-2-friend-premier-league-2/LIMRA-LIONS.-vs-MUSKAAN-NX
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",CRYSTAL CHALLENGERS.,46/3,5 FINGERS.,36/4,CRYSTAL CHALLENGERS.,10 runs,https://cricheroes.in/scorecard/1411407/FPL-2-friend-premier-league-2/CRYSTAL-CHALLENGERS.-vs-5-FINGERS.
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",FASHION FEVER blaster,57/4,RR FIGHTERS,58/3,RR FIGHTERS,5 wickets,https://cricheroes.in/scorecard/1411404/FPL-2-friend-premier-league-2/FASHION-FEVER-blaster-vs-RR-FIGHTERS
FPL-2 friend premier league-2,"madhuban turf, Vasai, 26-Jan-21, 4 Ov., ",SHINE DIAMOND,30/6,MUSKAAN NX,32/0,MUSKAAN NX,8 wickets,https://cricheroes.in/scorecard/1411403/FPL-2-friend-premier-league-2/SHINE-DIAMOND-vs-MUSKAAN-NX
