CITY,SCRAPE,ID,URL
Aachen,N,18146,https://cricheroes.in/past-matches/18146/Aachen
Abbottabad,N,13521,https://cricheroes.in/past-matches/13521/Abbottabad
Abiramam,N,3545,https://cricheroes.in/past-matches/3545/Abiramam
Abohar,N,3367,https://cricheroes.in/past-matches/3367/Abohar
Abrama,N,1058,https://cricheroes.in/past-matches/1058/Abrama
Abraq Khitan,N,19463,https://cricheroes.in/past-matches/19463/Abraq%20Khitan
Abu Dhabi,N,10967,https://cricheroes.in/past-matches/10967/Abu%20Dhabi
Abu Road,N,34,https://cricheroes.in/past-matches/34/Abu%20Road
Abuja,N,20133,https://cricheroes.in/past-matches/20133/Abuja
Accra(Ghana),N,20845,https://cricheroes.in/past-matches/20845/Accra(Ghana)
Achabal,N,1513,https://cricheroes.in/past-matches/1513/Achabal
Achampet,N,4436,https://cricheroes.in/past-matches/4436/Achampet
Achampudur,N,3546,https://cricheroes.in/past-matches/3546/Achampudur
ad-Dawhah (Qatar),N,19418,https://cricheroes.in/past-matches/19418/ad-Dawhah%20(Qatar)
Adajan,N,5736,https://cricheroes.in/past-matches/5736/Adajan
Adalaj,N,1059,https://cricheroes.in/past-matches/1059/Adalaj
Adelaide,N,20718,https://cricheroes.in/past-matches/20718/Adelaide
Adilabad,N,4437,https://cricheroes.in/past-matches/4437/Adilabad
Adipur,N,20064,https://cricheroes.in/past-matches/20064/Adipur
Adiramapattinam,N,3551,https://cricheroes.in/past-matches/3551/Adiramapattinam
Adoni,N,286,https://cricheroes.in/past-matches/286/Adoni
Adoor,N,2084,https://cricheroes.in/past-matches/2084/Adoor
Adur,N,2085,https://cricheroes.in/past-matches/2085/Adur
Afikpo,N,20331,https://cricheroes.in/past-matches/20331/Afikpo
Aganampudi,N,287,https://cricheroes.in/past-matches/287/Aganampudi
Agar,N,2310,https://cricheroes.in/past-matches/2310/Agar
Agaram,N,3554,https://cricheroes.in/past-matches/3554/Agaram
Agasthiswaram,N,3555,https://cricheroes.in/past-matches/3555/Agasthiswaram
Agra,N,4530,https://cricheroes.in/past-matches/4530/Agra
Agra Cantonment,N,4531,https://cricheroes.in/past-matches/4531/Agra%20Cantonment
Aheri,N,2715,https://cricheroes.in/past-matches/2715/Aheri
Ahiwara,N,874,https://cricheroes.in/past-matches/874/Ahiwara
Ahmadnagar Cantonment,N,2716,https://cricheroes.in/past-matches/2716/Ahmadnagar%20Cantonment
Ahmadpur (Maharashtra),N,2717,https://cricheroes.in/past-matches/2717/Ahmadpur%20(Maharashtra)
Ahmadpur (West Bengal),N,5309,https://cricheroes.in/past-matches/5309/Ahmadpur%20(West%20Bengal)
Ahmedabad,Y,1,https://cricheroes.in/past-matches/1/Ahmedabad
Ahmedgarh,N,3369,https://cricheroes.in/past-matches/3369/Ahmedgarh
Ahmednagar,N,2718,https://cricheroes.in/past-matches/2718/Ahmednagar
Ahore (Jalore),N,20235,https://cricheroes.in/past-matches/20235/Ahore%20(Jalore)
Aizawl,N,3175,https://cricheroes.in/past-matches/3175/Aizawl
Ajaigarh,N,2311,https://cricheroes.in/past-matches/2311/Ajaigarh
Ajax,N,11222,https://cricheroes.in/past-matches/11222/Ajax
Ajjaram,N,288,https://cricheroes.in/past-matches/288/Ajjaram
Ajman,N,10970,https://cricheroes.in/past-matches/10970/Ajman
Ajmer,N,35,https://cricheroes.in/past-matches/35/Ajmer
Aklera,N,36,https://cricheroes.in/past-matches/36/Aklera
Akluj,N,19634,https://cricheroes.in/past-matches/19634/Akluj
Akola,N,2722,https://cricheroes.in/past-matches/2722/Akola
Akuressa,N,12896,https://cricheroes.in/past-matches/12896/Akuressa
Al Ain,N,10969,https://cricheroes.in/past-matches/10969/Al%20Ain
al-Farwaniyah,N,19476,https://cricheroes.in/past-matches/19476/al-Farwaniyah
al-Kuwayt,N,19502,https://cricheroes.in/past-matches/19502/al-Kuwayt
al-Wakrah,N,19424,https://cricheroes.in/past-matches/19424/al-Wakrah
Alampur (Andhra Pradesh),N,293,https://cricheroes.in/past-matches/293/Alampur%20(Andhra%20Pradesh)
Alampur (Madhya Pradesh),N,2314,https://cricheroes.in/past-matches/2314/Alampur%20(Madhya%20Pradesh)
Alandi,N,2724,https://cricheroes.in/past-matches/2724/Alandi
Alangulam,N,3564,https://cricheroes.in/past-matches/3564/Alangulam
Alappuzha,N,2088,https://cricheroes.in/past-matches/2088/Alappuzha
Aldona,N,987,https://cricheroes.in/past-matches/987/Aldona
Alibag,N,2725,https://cricheroes.in/past-matches/2725/Alibag
Alice (Eastern Cape),N,16687,https://cricheroes.in/past-matches/16687/Alice%20(Eastern%20Cape)
Aliganj,N,4538,https://cricheroes.in/past-matches/4538/Aliganj
Aligarh,N,4539,https://cricheroes.in/past-matches/4539/Aligarh
Allahabad,N,4540,https://cricheroes.in/past-matches/4540/Allahabad
Allahabad Cantonment,N,4541,https://cricheroes.in/past-matches/4541/Allahabad%20Cantonment
Allapalli,N,2726,https://cricheroes.in/past-matches/2726/Allapalli
Almora,N,5213,https://cricheroes.in/past-matches/5213/Almora
Alur (Karnataka),N,1765,https://cricheroes.in/past-matches/1765/Alur%20(Karnataka)
Aluva,N,2089,https://cricheroes.in/past-matches/2089/Aluva
Alwar,N,37,https://cricheroes.in/past-matches/37/Alwar
Alwar Tirunagari,N,3569,https://cricheroes.in/past-matches/3569/Alwar%20Tirunagari
Amalapuram,N,294,https://cricheroes.in/past-matches/294/Amalapuram
Amalner,N,2728,https://cricheroes.in/past-matches/2728/Amalner
Ambad,N,2729,https://cricheroes.in/past-matches/2729/Ambad
Ambaji,N,1064,https://cricheroes.in/past-matches/1064/Ambaji
Ambajogai,N,2730,https://cricheroes.in/past-matches/2730/Ambajogai
Ambala,N,1336,https://cricheroes.in/past-matches/1336/Ambala
Ambala Cantt,N,1337,https://cricheroes.in/past-matches/1337/Ambala%20Cantt
Ambasamudram,N,3571,https://cricheroes.in/past-matches/3571/Ambasamudram
Ambernath,N,2731,https://cricheroes.in/past-matches/2731/Ambernath
Ambikapur (Assam),N,596,https://cricheroes.in/past-matches/596/Ambikapur%20(Assam)
Ambikapur (Chhattisgarh),N,877,https://cricheroes.in/past-matches/877/Ambikapur%20(Chhattisgarh)
Ambur,N,3572,https://cricheroes.in/past-matches/3572/Ambur
Amet,N,38,https://cricheroes.in/past-matches/38/Amet
Amethi,N,4545,https://cricheroes.in/past-matches/4545/Amethi
Amgaon,N,2733,https://cricheroes.in/past-matches/2733/Amgaon
Amguri,N,597,https://cricheroes.in/past-matches/597/Amguri
Aminagar Sarai,N,4548,https://cricheroes.in/past-matches/4548/Aminagar%20Sarai
Ammapettai,N,3575,https://cricheroes.in/past-matches/3575/Ammapettai
Ammur,N,3577,https://cricheroes.in/past-matches/3577/Ammur
Amod,N,1066,https://cricheroes.in/past-matches/1066/Amod
Amravati,N,2734,https://cricheroes.in/past-matches/2734/Amravati
Amreli,N,30,https://cricheroes.in/past-matches/30/Amreli
Amritsar,N,3374,https://cricheroes.in/past-matches/3374/Amritsar
Amritsar Cantonment,N,3375,https://cricheroes.in/past-matches/3375/Amritsar%20Cantonment
Amroha,N,4551,https://cricheroes.in/past-matches/4551/Amroha
Amsterdam (North Holland),N,20086,https://cricheroes.in/past-matches/20086/Amsterdam%20(North%20Holland)
Amtala,N,5319,https://cricheroes.in/past-matches/5319/Amtala
Anakapalle,N,297,https://cricheroes.in/past-matches/297/Anakapalle
